stop id,arrival time,route,trip id
591,2018-04-17T19:55:49,801,2005770
2821,2018-04-17T19:56:49,801,2005772
591,2018-04-17T19:57:49,1,1985690
559,2018-04-17T19:59:49,801,2005768
591,2018-04-17T20:00:19,5,1994672
559,2018-04-17T20:02:19,801,2005767
4039,2018-04-17T20:02:19,801,2005767
591,2018-04-17T20:02:19,801,2005767
610,2018-04-17T20:02:19,801,2005767
559,2018-04-17T20:02:49,1,1985689
591,2018-04-17T20:06:19,801,2005769
591,2018-04-17T20:07:49,803,2006930
2821,2018-04-17T20:07:49,275,1989615
591,2018-04-17T20:08:49,18,1987434
4039,2018-04-17T20:11:19,801,2005768
610,2018-04-17T20:11:49,801,2005770
2821,2018-04-17T20:12:49,240,1989232
591,2018-04-17T20:13:49,3,1989846
610,2018-04-17T20:13:49,1,1985690
2821,2018-04-17T20:13:49,801,2005771
591,2018-04-17T20:15:49,19,1987640
591,2018-04-17T20:18:49,803,2006929
4039,2018-04-17T20:20:49,1,1985689
610,2018-04-17T20:22:49,801,2005769
591,2018-04-17T20:24:49,18,1987433
591,2018-04-17T20:26:49,801,2005768
2821,2018-04-17T20:27:19,801,2005770
591,2018-04-17T20:33:49,1,1985689
2821,2018-04-17T20:33:19,240,1989231
610,2018-04-17T20:35:19,801,2005767
2821,2018-04-17T20:35:19,801,2005767
2821,2018-04-17T20:36:49,275,1989614
591,2018-04-17T20:37:49,5,1994671
2821,2018-04-17T20:39:51,801,2005769
559,2018-04-17T20:40:49,801,2005766
610,2018-04-17T20:40:49,801,2005768
559,2018-04-17T20:43:19,1,1985678
591,2018-04-17T20:47:49,803,2006928
591,2018-04-17T20:50:49,3,1989845
610,2018-04-17T20:53:49,1,1985689
4039,2018-04-17T20:55:49,801,2005766
4039,2018-04-17T20:57:49,1,1985678
2821,2018-04-17T20:59:19,801,2005768
591,2018-04-17T21:01:49,803,2006833
559,2018-04-17T21:03:49,801,2005765
591,2018-04-17T21:06:49,19,1987639
2821,2018-04-17T21:07:49,275,1989613
591,2018-04-17T21:12:19,801,2005766
2821,2018-04-17T21:14:49,801,2005767
591,2018-04-17T21:15:49,1,1985678
559,2018-04-17T21:19:19,801,2005764
4039,2018-04-17T21:19:19,801,2005765
559,2018-04-17T21:19:49,1,1985688
591,2018-04-17T21:20:49,5,1994670
591,2018-04-17T21:23:49,803,2006832
2821,2018-04-17T21:23:49,240,1989230
591,2018-04-17T21:24:49,18,1987432
591,2018-04-17T21:27:19,3,1989844
610,2018-04-17T21:29:49,801,2005766
610,2018-04-17T21:34:49,1,1985678
4039,2018-04-17T21:35:49,801,2005764
591,2018-04-17T21:35:49,801,2005765
4039,2018-04-17T21:36:49,1,1985688
2821,2018-04-17T21:36:49,275,1989612
591,2018-04-17T21:37:19,803,2006831
559,2018-04-17T21:38:49,801,2005763
591,2018-04-17T21:41:49,19,1987638
591,2018-04-17T21:42:49,18,1987431
2821,2018-04-17T21:44:49,801,2005766
610,2018-04-17T21:48:19,801,2005765
4039,2018-04-17T21:50:49,801,2005763
2821,2018-04-17T21:50:49,240,1989229
591,2018-04-17T21:51:49,801,2005764
591,2018-04-17T21:55:49,5,1994665
591,2018-04-17T21:56:49,1,1985688
559,2018-04-17T21:58:49,801,2005762
591,2018-04-17T21:58:49,803,2006830
559,2018-04-17T22:00:49,1,1985687
591,2018-04-17T22:02:19,801,2005763
610,2018-04-17T22:04:49,801,2005764
591,2018-04-17T22:05:49,3,1989843
2821,2018-04-17T22:06:49,801,2005765
2821,2018-04-17T22:07:49,275,1989652
4039,2018-04-17T22:10:19,801,2005762
610,2018-04-17T22:12:49,801,2005763
610,2018-04-17T22:14:19,1,1985688
4039,2018-04-17T22:16:49,1,1985687
559,2018-04-17T22:18:49,801,2005761
2821,2018-04-17T22:18:49,801,2005764
591,2018-04-17T22:21:19,803,2006829
591,2018-04-17T22:25:49,801,2005762
591,2018-04-17T22:27:49,19,1987637
2821,2018-04-17T22:28:49,801,2005763
4039,2018-04-17T22:29:49,801,2005761
591,2018-04-17T22:31:49,1,1985687
591,2018-04-17T22:32:19,5,1994667
2821,2018-04-17T22:32:19,240,1989228
2821,2018-04-17T22:35:49,275,1989651
610,2018-04-17T22:36:49,801,2005762
559,2018-04-17T22:38:49,801,2005760
591,2018-04-17T22:40:49,18,1987430
591,2018-04-17T22:41:19,801,2005761
559,2018-04-17T22:41:49,1,1985686
591,2018-04-17T22:42:49,803,2006828
591,2018-04-17T22:47:19,3,1989842
4039,2018-04-17T22:49:49,801,2005760
610,2018-04-17T22:49:49,1,1985687
2821,2018-04-17T22:50:49,801,2005762
610,2018-04-17T22:53:19,801,2005761
591,2018-04-17T22:54:49,803,2006827
4039,2018-04-17T22:55:49,1,1985686
559,2018-04-17T23:02:19,801,2005759
591,2018-04-17T23:02:19,801,2005760
591,2018-04-17T23:05:49,18,1987429
2821,2018-04-17T23:06:49,275,1989650
2821,2018-04-17T23:07:49,801,2005761
591,2018-04-17T23:08:49,1,1985686
2821,2018-04-17T23:09:49,240,1989227
4039,2018-04-17T23:13:49,801,2005759
610,2018-04-17T23:16:49,801,2005760
559,2018-04-17T23:18:49,801,2005757
591,2018-04-17T23:19:49,803,2006826
559,2018-04-17T23:22:49,1,1985685
591,2018-04-17T23:24:49,801,2005759
591,2018-04-17T23:27:49,3,1989841
610,2018-04-17T23:27:49,1,1985686
4039,2018-04-17T23:29:49,801,2005757
591,2018-04-17T23:30:49,5,1994666
2821,2018-04-17T23:30:49,801,2005760
559,2018-04-17T23:36:49,801,2005756
591,2018-04-17T23:37:19,801,2005757
2821,2018-04-17T23:37:19,275,1989649
610,2018-04-17T23:38:19,801,2005759
4039,2018-04-17T23:39:49,1,1985685
591,2018-04-17T23:40:49,803,2006825
591,2018-04-17T23:43:49,18,1987419
4039,2018-04-17T23:46:49,801,2005756
2821,2018-04-17T23:51:49,801,2005759
610,2018-04-17T23:53:49,801,2005757
591,2018-04-17T23:54:49,1,1985685
591,2018-04-17T23:57:49,803,2006749
591,2018-04-18T00:00:19,801,2005756
2821,2018-04-18T00:06:19,801,2005757
591,2018-04-18T00:06:49,3,1989840
610,2018-04-18T00:08:49,1,1985685
2821,2018-04-18T00:08:49,275,1989637
610,2018-04-18T00:09:19,801,2005756
591,2018-04-18T00:12:49,481,1994160
610,2018-04-18T00:22:49,481,1994160
2821,2018-04-18T00:23:19,801,2005756
