arrival time,interval,adherence
2018-04-17T20:11:49,9,ON TIME
2018-04-17T20:22:49,11,ON TIME
2018-04-17T20:35:19,12,ON TIME
2018-04-17T20:40:49,5,ON TIME
2018-04-17T21:29:49,49,10+ MIN LATE
2018-04-17T21:48:19,18,ON TIME
2018-04-17T22:04:49,16,ON TIME
2018-04-17T22:12:49,8,ON TIME
2018-04-17T22:36:49,24,2-5 MIN LATE
2018-04-17T22:53:19,16,ON TIME
2018-04-17T23:16:49,23,2-5 MIN LATE
2018-04-17T23:38:19,21,ON TIME
2018-04-17T23:53:49,15,ON TIME
2018-04-18T00:09:19,15,ON TIME
2018-04-18T06:01:49,20,5-10 MIN LATE
2018-04-18T06:14:49,13,ON TIME
2018-04-18T06:28:19,13,ON TIME
2018-04-18T06:42:49,14,ON TIME
2018-04-18T07:03:49,21,5-10 MIN LATE
2018-04-18T07:13:49,10,ON TIME
2018-04-18T07:22:49,9,ON TIME
2018-04-18T07:29:49,7,ON TIME
2018-04-18T07:45:19,15,5-10 MIN LATE
2018-04-18T07:55:49,10,ON TIME
2018-04-18T08:18:49,23,10+ MIN LATE
2018-04-18T08:27:49,9,ON TIME
2018-04-18T08:34:49,7,ON TIME
2018-04-18T08:40:49,6,ON TIME
2018-04-18T08:50:49,10,ON TIME
2018-04-18T09:07:19,16,5-10 MIN LATE
2018-04-18T09:15:49,8,ON TIME
2018-04-18T09:29:49,14,2-5 MIN LATE
2018-04-18T09:31:49,2,BUNCHED
2018-04-18T09:37:49,6,ON TIME
2018-04-18T09:47:19,9,ON TIME
2018-04-18T09:55:19,8,ON TIME
2018-04-18T10:13:19,18,5-10 MIN LATE
2018-04-18T10:21:49,8,ON TIME
2018-04-18T10:27:49,6,ON TIME
2018-04-18T10:41:19,13,2-5 MIN LATE
2018-04-18T10:49:49,8,ON TIME
2018-04-18T10:59:49,10,ON TIME
2018-04-18T11:03:49,4,ON TIME
2018-04-18T11:19:49,16,5-10 MIN LATE
2018-04-18T11:34:49,15,5-10 MIN LATE
2018-04-18T11:43:49,9,ON TIME
2018-04-18T12:00:49,17,5-10 MIN LATE
2018-04-18T12:01:49,1,BUNCHED
2018-04-18T12:08:49,7,ON TIME
2018-04-18T12:14:49,6,ON TIME
2018-04-18T12:27:49,13,2-5 MIN LATE
2018-04-18T12:43:19,15,5-10 MIN LATE
2018-04-18T12:50:49,7,ON TIME
2018-04-18T12:58:49,8,ON TIME
2018-04-18T13:14:49,16,5-10 MIN LATE
2018-04-18T13:24:49,10,ON TIME
